step,mean_reward,mean_response_length,kl
0,4.531790591776371,114.8125,0.0
1,5.935373708605766,119.875,-1.848985195159912
2,5.337698899209499,138.25,-5.5437517166137695
3,5.187025967985392,141.8125,-11.583293914794922
4,4.859484910964966,139.0625,-15.465024948120117
5,4.619733393192291,139.75,-17.741058349609375
6,5.265371158719063,127.3125,-21.53253173828125
7,4.450065849348903,119.4375,-23.866182327270508
8,4.883504129946232,126.3125,-25.352296829223633
9,5.253656938672066,131.6875,-28.987966537475586
10,5.291812241077423,131.625,-34.24826431274414
11,5.17002490721643,130.75,-35.687129974365234
12,3.990467932075262,141.5625,-40.10417556762695
13,4.062263041734695,136.25,-30.377859115600586
14,4.786473132669926,123.5625,-39.360965728759766
15,5.091264829039574,131.8125,-34.79497146606445
16,4.199468322098255,134.0,-35.35358810424805
17,4.704974963329732,111.5625,-33.33983612060547
18,5.689616180956364,125.4375,-43.39009094238281
19,5.5023800283670425,129.875,-37.69322967529297
20,3.9150578752160072,115.9375,-40.0232048034668
21,4.216350318863988,121.4375,-43.857730865478516
22,5.246891137212515,109.125,-41.66583251953125
23,4.054941147565842,122.875,-41.46571350097656
24,4.744848132133484,120.5625,-49.31097412109375
25,3.705562073737383,133.0625,-50.594696044921875
26,4.4328125808387995,121.375,-45.692867279052734
27,4.294811066240072,134.125,-65.98600769042969
28,4.139543991535902,131.625,-55.66093444824219
29,4.6494385451078415,130.8125,-64.83802032470703
