step,mean_reward,mean_response_length,kl
0,5.887232169508934,114.8125,0.0
1,5.357225343585014,128.5625,-2.1060876846313477
2,4.885859429836273,120.3125,-5.233510494232178
3,4.92208013124764,124.0,-10.337541580200195
4,5.165992651134729,106.5625,-11.755897521972656
5,4.8611730532720685,132.75,-19.15843963623047
6,5.205906540155411,113.125,-15.808005332946777
7,4.708934582769871,132.8125,-23.179203033447266
8,5.272771310061216,116.6875,-22.670799255371094
9,3.793434727936983,122.0,-20.504674911499023
10,4.4329604879021645,128.1875,-25.469173431396484
11,4.509989549871534,109.1875,-22.9699649810791
12,4.243158316239715,100.5625,-22.806804656982422
13,5.904605120653287,104.625,-24.0786190032959
14,5.341750681400299,87.125,-19.998451232910156
15,4.310843963176012,101.375,-29.43284797668457
16,5.646365761756897,92.625,-21.982572555541992
17,5.357051339931786,84.5,-24.20442008972168
18,5.056478686630726,88.5,-22.01317596435547
19,5.352023001760244,85.625,-21.358394622802734
20,4.159367237240076,106.9375,-33.760196685791016
21,5.881407171487808,82.5,-28.730018615722656
22,5.598873756825924,84.8125,-23.6916561126709
23,6.040711730718613,90.125,-30.37465476989746
24,4.586758658289909,68.25,-15.376643180847168
25,6.231472911313176,104.1875,-24.99038314819336
26,6.001727879047394,102.4375,-30.813282012939453
27,5.598468419164419,94.3125,-27.039566040039062
28,6.5494834028650075,79.875,-27.464134216308594
29,6.100461848080158,98.75,-22.532535552978516
